feature	control	acpa_neg	acpa_pos
CARD9	5708.981510412086	6375.004756943335	7029.655815972917
CARHSP1	1187.685755208551	1221.488090277698	1144.1410590271043
CASP1	974.8578038196147	1001.2538107637185	969.0814149307599
CASP10	516.5248958335521	517.2070833334167	509.9222656248854
CASP3	1221.5073611104376	1179.7144357630516	1191.7216059026346
CASP4	970.8394531247808	958.5808680547708	994.5794791673019
CASP6	1364.9666319443959	1311.2148003469688	1437.615373261417
CASP9	749.5774045137708	728.1221701385416	751.8842621530208
CASS4	2512.247569444822	2800.950633679677	2609.515711805761
CBFA2T3	1520.2135850687812	2893.0912499989595	1647.1196527788434
CBFB	1482.9767621531876	675.1540711806355	749.2539843750938
CBLC	1050.2422309021877	1018.41581597201	988.4665798607397
CBX5	1310.2432378460835	1104.7965972218333	1324.3117187502705
CCDC110	2006.6146961803845	1942.6699479166975	1961.572578124521
CCDC183	1800.8455381941571	1592.400668402656	1598.764730902854
CCDC33	1133.0326041662288	1105.1126475695105	1178.2728298611457
CCDC36	1310.810815972354	1248.6316145831252	1306.27003472175
CCM2	1821.960017360937	1817.2804861114273	1740.2884809033226
CCNA1	1178.9718663189267	1158.6503385407395	1138.7852343748532
CCNA2	1144.0390190974167	1090.5323350696044	1069.7533680552192
CCNB1	708.7854513894271	1112.10040798498	714.9452343747812
CCNB1IP1	723.8445572912708	705.9524739581979	703.8434461802811
CCND1	1235.3422048606883	1303.6256597224485	1258.64177951377
CCND2	1491.0608854171774	1480.211406250052	1533.328342015105
CCNH	1818.4490017356147	1744.5363802077086	1899.0749999997295
CCNI	1556.645451388542	1563.7874739592082	1628.508159722521
CCR5	926.3716666662498	885.2934635416148	923.8871006950728
CCT3	1057.9387499991353	1032.5844618050312	1081.5271961801147
CCT5	1006.240581597104	1006.6762934022917	1018.5219357634372
CD276	812.7703819446772	790.4938194446563	761.904548610875
CD5L	1599.4495572912815	1682.6381770826042	1545.1074218750634
CD96	1559.3758159718543	1563.386041666792	1597.3319965275002
CDC20	1589.9558593742906	1596.0397656242287	1703.599088542094
CDC25A	1287.190798611062	1252.9650173606146	1325.458489582729
CDC25C	944.8434895822085	920.69910590225	959.4360850685832
CDC42	1005.0550520835101	939.5019965274686	961.6417795144686
CDH19	1411.358072916917	1461.9625954859582	1346.289635416542
