feature	control	acpa_neg	acpa_pos
serine	1.0185868993534928	1.0066313188510312	1.0401557416555955
serotonin	1.068481348211751	1.3063755665861927	1.0467851476368821
taurine	1.0793522416756354	1.0124962085854785	1.0100131201129334
myristate (14:0)	1.1088603041688452	1.4029641680606835	1.1681299340538263
urea	1.1303455276827212	0.9841757006196145	0.9882320505203743
uridine	1.0510852724774635	1.060425485923615	1.0150594800904793
2'-deoxyuridine	1.2014036667483265	0.7390929465745896	1.0455718286732039
trans-urocanate	1.0539893776779883	1.2141285148188912	1.2190418412970794
glutamate	1.0089403999638247	1.089223588100536	0.9932674933755592
glutamine	1.0106762344240154	0.9747098616885165	0.9945981257693447
threonine	1.0715422021209424	1.0250436216409204	1.0737760710823807
tryptophan	1.0287191291025062	1.0457340094389822	1.0208139842402781
valine	1.0064319680958778	0.9761309563729889	0.9820765232876694
