	temp41	temp81	temp42	temp1	temp43	temp82	temp83	temp2	temp3	temp44	temp4	temp84	temp85	temp45	temp5	temp86	temp6	temp87	temp88	temp46	temp47	temp89	temp48	temp49	temp90	temp50	temp91	temp51	temp92	temp52	temp53	temp7	temp93	temp54	temp8	temp55	temp94	temp9	temp10	temp56	temp11	temp95	temp57	temp12	temp96	temp13	temp97	temp14	temp58	temp15	temp59	temp60	temp61	temp16	temp98	temp62	temp99	temp17	temp63	temp18	temp19	temp64	temp20	temp21	temp65	temp100	temp22	temp101	temp102	temp103	temp23	temp66	temp67	temp24	temp104	temp25	temp26	temp27	temp28	temp29	temp105	temp106	temp107	temp30	temp108	temp68	temp69	temp31	temp109	temp32	temp70	temp33	temp110	temp34	temp111	temp71	temp35	temp112	temp113	temp72	temp114	temp36	temp115	temp73	temp74	temp75	temp76	temp77	temp116	temp78	temp117	temp37	temp38	temp118	temp119	temp39	temp120	temp40	temp79	temp80
3-hydroxy-2-methylpyridine sulfate	0.56679681	0.24832274	0.039726281	0.039726281	0.189194304	0.270345235	0.039726281	28.44711525	3.14449229	19.9237656	0.039726281	4.304046677	0.236007147	0.039726281	0.039726281	0.039726281	0.159299147	2.823729791	5.82785731	0.720424378	0.090110549	0.039726281	0.157422207	1.949124661	12.01266691	1.71913653	0.039726281	1.044907759	2.036853613	2.117280554	13.08823846	13.44251801	3.3879412	0.039726281	0.067039919	0.039726281	1.014166329	0.763894833	4.591457112	0.230727649	0.351088557	0.223014147	0.251438032	10.07906436	1.406013775	0.039726281	1.614586942	0.523285595	0.429881182	0.060632705	2.298530378	10.92857053	12.30403697	0.039726281	0.039726281	0.301562207	0.760628144	0.042061295	0.133955615	0.08072003	8.218670207	0.084580663	0.198173333	0.288206242	0.205694676	0.684964397	0.486822121	1.618152544	0.199213704	1.025004828	0.094646647	0.387158009	2.390232541	2.860004988	0.039726281	0.039726281	0.985833671	0.039726281	8.880492158	6.53270911	0.285471384	0.039726281	4.247041686	0.056034495	0.478240995	0.039726281	0.044241028	8.156280904	0.048532562	0.180077465	0.039726281	0.070201795	0.571889973	0.039726281	0.039726281	3.226202226	17.2115458	0.089497196	2.771907248	1.738676496	5.839670187	11.81665196	0.193460604	11.8620013	6.319526087	0.113831411	0.364025268	2.236507923	0.686051353	4.688836676	1.141142138	3.447766452	3.010789004	0.350974038	0.039726281	1.665072142	5.348940849	0.218590626	3.114232226	1.502624706
hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))**	1.230231121	0.966128894	1.615448422	0.699149466	1.22525582	1.13317315	0.618050413	0.792336824	1.107559252	1.000708917	0.770018064	0.64236406	1.412884351	1.008174497	1.027741175	0.911491181	1.029091369	1.144386678	0.939180048	0.868728161	0.904465969	0.989751409	1.445514874	1.143606878	1.165977507	1.214428338	1.383249312	1.148064356	0.703963024	1.190862598	0.949280827	0.886477817	0.941484927	0.952663934	0.710697344	1.35366404	0.634190702	1.090231039	1.091545309	0.707087131	1.253490373	0.802432171	0.959159582	1.031080122	0.700544695	0.763737956	0.845421946	1.461162398	1.040064122	0.848452828	0.909941744	1.112841392	1.084000523	0.754027077	0.802410091	0.94243348	1.092179488	1.135011025	1.242363762	1.299322301	0.584413335	1.430615957	0.957962019	1.064939926	1.144292226	1.518103589	0.783010238	0.94272297	0.843556734	0.83949634	1.21478249	0.914176848	1.054322025	1.145873731	1.141012158	1.023117223	0.964831621	1.05572882	0.965810139	0.764273302	0.675190322	0.724896368	1.159352885	1.074548993	1.33439246	1.087202435	0.744075248	0.941623714	0.821540957	1.025611182	0.918174682	1.298332218	1.529238961	1.233109373	1.068845236	0.967273886	0.800701014	0.775650851	0.936306002	0.803974248	1.138991862	1.241221223	1.892086333	0.999291083	0.864206896	1.252580547	1.294186133	0.708154845	1.150131791	1.330603507	0.899001935	0.77091317	1.510646771	0.483228205	0.826589332	0.822718543	0.56424805	1.058936691	0.976023245	1.222163606
taurochenodeoxycholic acid 3-sulfate	1.754089499	0.243342775	0.666648835	0.504575171	0.511932045	0.621851579	1.624515032	0.087491342	0.837090135	0.283666218	0.892417323	2.020488319	0.615961574	2.472408201	0.476392119	1.061386122	0.983337932	0.087491342	0.78031297	1.051624819	0.665880207	0.587494158	0.087491342	1.476634251	3.463784356	0.914333095	1.560949721	1.32705573	1.693798602	0.753532032	0.584177511	4.726081007	0.553739252	0.536683015	3.454777604	1.025246496	0.47749016	1.364755137	0.227271959	0.783097489	0.347991711	2.672673983	0.087491342	1.24757164	0.569438422	0.552424418	0.298867047	57.01488549	0.247191549	0.46047334	0.708439149	0.9243675	0.241842119	0.540253056	7.906781952	0.087491342	0.796085343	7.799196459	0.428708985	2.251603421	2.698407559	0.868060522	0.980004392	0.593510859	0.466425285	2.416447528	1.048282833	1.060254295	1.533284719	1.016662068	2.723634347	1.766945025	1.743010547	1.315467174	2.875059829	0.25176672	2.797079211	0.324454217	0.751969435	0.731675385	5.958992393	1.650113464	6.957128538	1.927534926	1.311367821	0.414552703	0.286664715	1.217547258	0.873919556	0.535928464	0.71198385	0.349864012	1.956286707	1.681987623	1.922968202	2.562489794	2.072481967	1.614753729	0.128301866	1.459389377	1.054513512	0.34395993	0.524114669	0.715100597	0.330206263	1.117940863	10.3584963	2.479827016	2.318750035	1.906632731	0.655975314	3.756657225	0.599386786	4.16182027	0.795147785	1.25584918	1.221215841	0.606662012	2.061726796	2.09543947
tetradecadienedioate (C14:2-DC)*	1.000440752	0.598405408	1.060206282	0.93159501	0.999559248	3.903686672	1.011030751	1.253382385	0.494887154	0.690084268	0.773659976	0.962387946	1.420385688	1.642295495	1.711869853	1.719624226	0.483642596	1.923242217	0.298796591	0.755203325	1.020918413	2.721880543	0.589126916	0.422556005	0.897512557	2.039271146	1.96493332	1.840297179	3.618055315	0.551315389	1.639163646	1.826952777	0.346827838	0.493140868	6.307231801	1.760722881	0.49041752	0.960173434	1.02533788	0.502768139	0.294384291	1.193788857	0.067933182	4.049419198	1.0206198	0.718395136	0.708447752	0.45006898	0.795599644	2.07396038	0.459273416	1.360968938	0.427336196	1.115301509	1.392182321	0.494404596	1.171185074	0.214869715	1.666991955	2.355621383	2.071968037	1.3924451	0.203656213	0.776318823	0.387071267	1.654297335	0.619241404	1.333264851	0.489051069	0.699857263	0.87982991	1.2086311	1.1243435	1.355025352	0.886951225	1.946178057	1.190224616	1.001764204	0.421710334	1.393173715	2.410601943	2.623018257	0.729016191	0.555620189	1.192857186	0.834070508	0.356314164	1.157573115	1.132260319	0.557285253	0.407596706	1.132965044	0.618398122	1.41392371	0.831817775	0.923866914	0.536129144	1.203270406	0.716663183	0.400081223	0.647788773	0.609169797	0.642693247	1.726415872	0.295251462	1.847697995	1.606227865	2.632963253	5.291506859	2.608649017	0.501564133	0.715738678	1.034023925	0.428552147	0.724405612	0.514270698	0.462808989	1.430846686	1.069393995	1.06664437
pregnenetriol sulfate*	3.121335771	0.878795751	0.956897622	1.000087409	0.461030346	0.654096944	0.999912591	1.521608781	0.934112498	0.323679146	0.787004996	0.184913882	1.010033232	0.892500972	2.27300814	0.730076495	1.522195319	1.382474276	0.050287877	1.087244676	0.866850144	0.050287877	1.592656674	0.774255554	0.81241157	5.453772142	0.865987492	0.994790594	1.589313081	0.944233955	1.107543958	2.898245451	0.050287877	1.336354249	2.449178683	1.277349992	0.127906141	1.131416383	1.683945849	1.014046688	1.003033987	1.814587806	0.598058869	1.235149477	0.973912127	0.359586221	0.941090503	1.396482569	0.159882268	0.530201808	1.270635846	1.512421046	0.794508272	2.570379665	0.371085798	1.211939562	0.635107979	2.859156529	0.963184526	0.176102741	0.721217973	0.352020044	1.086247235	0.701298553	0.126827826	0.824359628	1.364243399	1.244361719	0.458743011	1.015021256	0.958369686	1.507294148	0.431658514	1.411763601	0.621556335	0.640657217	2.075982002	1.651948483	1.092298053	2.279944483	1.449259557	1.131848526	0.157568792	0.118450461	2.554392827	1.86639431	0.576854457	0.983505047	4.08445086	2.060432208	0.866476818	1.163182565	1.516671405	0.591005709	0.052065464	1.522071149	3.298729222	0.461257446	0.08446148	0.13126934	0.825007434	0.578785621	2.269725814	2.572333703	1.208439123	3.892385788	0.263902912	0.625000408	2.589728069	3.051439714	1.168240026	0.066406237	2.211397954	0.942774962	0.984264769	1.319912395	0.367368879	0.44388432	1.581928256	1.603244585
pregnenetriol disulfate*	3.744105707	0.875207101	0.949605306	1.022545182	0.444358325	0.715672802	1.821930378	1.908655578	1.245004911	0.242334041	0.463207758	0.083992806	1.224968287	1.036954089	1.687721574	0.759846494	1.023357975	0.684696402	0.026242786	1.36686817	1.21943363	0.035103123	1.42879067	1.027807157	0.529312632	6.956886432	0.839945686	1.133720015	1.020657735	1.136059461	0.809477244	3.582616253	0.046825084	1.11335475	3.116500805	2.071962608	0.406663787	1.270768802	2.184439023	0.789601385	0.648877255	1.11942519	0.546538335	1.245208032	1.181510001	0.461396983	0.578502204	1.716026795	0.134840117	0.287100711	0.718061404	0.742332959	0.919201478	3.245761745	0.244236329	1.160458701	0.281380863	2.5902557	0.875193189	0.189794984	0.231022341	0.250565539	1	0.368239931	0.110137897	1.741059203	0.804110153	0.950005364	0.530575259	0.729535725	0.663048415	1.698616521	0.354397413	1.230462445	0.545464298	0.476055077	1.913351782	1.63897287	1.105714066	3.11477907	2.825693834	1.554568257	0.162179509	0.121088802	2.829527779	1.20410805	0.530908229	0.698814695	3.907169116	2.526363206	0.434012763	0.986608861	2.305867288	0.683252915	0.051035901	1.461364212	3.97767618	0.514673088	0.073820685	0.091978518	0.368811576	0.265333077	2.116494622	1.92005168	1.06772644	4.372200943	1.320356268	0.547915661	2.874029495	2.285694941	1.146805391	0.026242786	1.866524534	2.264147123	0.480388941	1.637575138	0.272767239	0.515847912	2.162546487	1.382342766
eicosenedioate (C20:1-DC)*	1.413640262	0.879312226	1.436324489	1.557587022	2.586633822	1.681749258	1.501808138	1.00991817	0.472567706	0.182715371	0.902768251	0.94166436	1.628366226	2.195223024	1.095266796	1.461690241	1.047298633	0.351537668	1.031473333	0.98811415	1.068604256	1.506086444	0.273508184	0.688385916	0.564436402	2.324994443	1.185440533	0.54839088	1.088887177	0.91020739	2.58166826	0.78201707	0.379321771	1.059745606	0.353665571	0.270423031	0.853553073	0.542043987	0.473456094	0.693208982	0.871211057	1.541906945	1.177105506	1.251590303	1.3565905	1.417956067	0.247038594	1.903022564	0.760290093	0.949633941	0.992707448	1.101435738	2.047424085	1.143187914	0.426464953	1.113258862	0.572450982	0.970648434	0.431007117	2.079003779	0.998744803	0.912524153	0.343182187	1.062321453	0.742615064	0.308273255	1.357306392	0.816071704	1.030130865	1.425253392	0.677651629	1.01731981	0.507949808	1.755782702	0.303818363	0.638339622	0.452173652	1.140372755	1.481577035	0.824873083	1.096408814	1.235762275	0.556309325	0.486831681	1.056867721	0.613350906	1.520287011	0.629508925	0.848595693	1.017582304	0.875458	0.923351847	0.789538025	1.104865883	1.162092231	0.677029144	1.188126831	1.950359378	0.791728654	0.758299232	0.72469936	0.277614676	1.68503077	0.689610432	1.457282393	2.479522766	1.162777442	1.244612743	0.609699175	0.27916032	0.184796912	1.33632258	1	0.889925152	1.5384993	1.321390439	1.373396232	0.182715371	2.498092319	1.105369052
"hydroxy-N6,N6,N6-trimethyllysine*"	1.042875377	1.351584327	0.801926268	1.09091728	2.236187488	0.765730557	0.715164059	1.273037792	1.001986415	0.936449279	0.995164697	1.023408281	0.543180269	1.448082278	1.362301959	1.726870279	0.704953426	0.958789516	1.484451685	1.2778105	0.92484931	0.849460481	0.836016379	0.606869808	0.685676425	0.861963345	1.245593162	0.717107974	1.767800586	2.371235513	1.407225884	0.96612031	0.834726826	0.81922771	0.628755248	0.635211327	1.212358364	0.998013585	1.102466665	1.117603608	1.028373625	0.9040758	1.035195574	0.825045364	0.663909939	0.806921639	0.885714398	0.835043729	0.996178692	1.351814382	0.883355877	1.186356426	0.582145642	1.224540861	1.038602506	0.642956728	0.885464017	1.170199482	1.147198416	1.192512233	1.838273501	0.846183127	1.057342713	0.932084479	0.74482793	1.036904584	0.737999052	1.253816919	1.023566732	0.740112967	1.351812534	1.007726692	0.643133657	0.954575776	1.442235982	0.622709387	2.168687035	1.089320295	1.813038411	1.577208708	0.808063597	0.724161132	1.094358628	1.101014735	1.040226054	0.592557227	0.80233741	1.05978762	1.177375752	0.715460174	1.323807551	1.067283102	0.74214858	1.945081175	1.495385281	1.077165515	0.796927894	1.510031857	1.36200007	1.096260043	1.032621319	0.517737298	0.742888173	1.494326245	0.881216092	0.759141897	1.584638362	0.957431362	0.551335656	0.668280975	0.916325742	2.920126724	0.83739994	0.427044298	0.946293581	1.818945454	0.764714021	1.170079373	1.077675285	0.747189916
undecenoylcarnitine (C11:1)	1.959500256	0.361934688	0.337146364	1.096383822	0.419018877	1.942471365	0.708782569	1.310023452	0.249906819	0.811266922	1.313979343	0.28677667	0.072711068	1.78933283	1.578985791	1.184520952	2.055420725	1.00396002	1.324636908	0.662582187	1.019059214	1.041164999	0.885476933	1.573562034	0.429693176	0.260241861	1.072336169	1.664154372	0.79939425	1.361190323	0.576570789	1.1117825	0.189370298	0.270584293	0.565059976	0.725481332	0.754964478	1.053325202	0.326229305	1.874906737	0.118340951	1.336463939	0.264562436	0.865907639	0.82203011	1.790070022	1.698940438	0.106245513	0.362608419	0.461841691	0.291512351	1.884508064	1.211536719	0.750122087	1.022285519	0.177351579	0.570357245	1.998660578	0.64644762	2.041540333	0.695952981	0.509890706	0.623471852	0.80737058	0.399754501	1.899373408	1.267263883	1.332721469	0.741324891	0.953091765	0.776571702	2.797781206	0.835285452	1.682711331	1.594916717	1.050542691	1.064898172	0.441962915	1.362018795	0.972656061	1.480231303	0.816553976	2.049681184	1.211191812	0.447367981	1.046137573	0.99603998	1.552232127	1.254689443	0.733755843	1.036096582	1.254922859	1.523359469	0.751479764	1.159346646	1.509428873	0.591433742	1.552073257	0.605402806	1.046983649	0.508919445	0.582065831	0.342325187	1.150375801	0.538253066	1.024661836	0.550916829	1.028021366	0.422427959	1.383423682	1.026895364	2.664556438	1.763634534	0.50831287	1.165655816	1.352975362	0.340180547	0.947462629	1.061704684	0.56398331
3-decenoylcarnitine	1.151014259	0.431196291	1.177620461	0.941018269	0.768026404	2.22838777	1.130400599	1.140800368	1.141632048	0.32657158	1.419739779	1.008166166	0.707835132	3.11832671	1.417888854	1.490449815	0.895296602	1.299987298	0.836295279	0.570259109	1.143370161	1.190257769	1.068767256	0.443022474	0.853893518	0.593657025	2.115829744	2.386935001	1.706386799	1.015472149	1.412037066	0.512068188	0.353801101	0.275899098	2.263543941	0.275899098	0.71004794	0.895607659	0.784769518	0.895873671	0.344278858	0.912443672	0.611815793	1.453526144	1.207138105	1.131439757	1.024378541	0.477061362	0.290540129	1.430067284	0.891065457	1.292880282	1.104636273	1.35598974	0.803873742	0.367023427	0.976433387	1.769229522	1.993462827	2.136980246	0.724089259	0.973484609	0.510780762	1.468206117	0.536562672	1.057922098	1.044623975	1.651833573	0.588080644	0.916700671	1.54522441	1.970171781	0.275899098	0.860349755	1.567822523	0.974897774	0.945260494	1.13425613	1.439168468	1.047709733	1.235514859	1.256868102	1.153587343	0.760143594	1.173766536	0.991833834	0.726224102	1.043369791	1.116974568	0.370780759	0.389617927	1.133153861	1.283944583	0.275899098	0.957848983	1.221267988	0.28628313	1.069335172	0.548016856	0.749900717	0.497523428	0.402448902	0.503637214	0.938746526	0.308434973	1.239808311	0.938910485	1.948634024	0.470139744	1.55130945	0.582662923	1.255605327	0.906431779	0.364782275	1.489089082	0.860540292	0.275899098	0.710033086	2.146480489	0.301214182
