Rank(ACPA–)	Rho	pvalue	RA_phenotype	feature_name
63	-0.3215252798030329	0.10196555612476978	2	GTF2F2
63	0.05011910438185522	0.7962605910875113	1	GTF2F2
64	-0.32157436388541993	0.10191029417291018	2	FH
64	-0.2014936971770368	0.29457148650031445	1	FH
65	-0.3240619684010845	0.09913878428454924	2	BMX
65	-0.12801125126878463	0.508118918264749	1	BMX
66	-0.33045412935760116	0.092276171389372	2	COQ8A
66	0.06910836781256743	0.7216788227022406	1	COQ8A
67	-0.33077126383875044	0.09194527132363721	2	DNAJB1
67	-0.2907542373779372	0.1259769327014874	1	DNAJB1
68	-0.3314055328010491	0.09128615549502024	2	KRAS
68	-0.38676267582952567	0.03820921665588204	1	KRAS
69	-0.3392820999893937	0.08339500573571478	2	DR1
69	-0.3168030385082131	0.09404454925747774	1	DR1
70	-0.34055044428841946	0.08217436271857638	2	HMG20B
70	0.2237991690714525	0.24318677564469338	1	HMG20B
71	-0.34118461643793235	0.08156916197981436	2	MCMBP
71	0.03919724360555808	0.840013723761666	1	MCMBP
72	-0.343087132886471	0.07977390896118555	2	DLX4
72	0.07541748136765605	0.6974053688811213	1	DLX4
73	-0.3449896493350097	0.07800894470177022	2	IDO1
73	-0.22550819264210317	0.23951215298541303	1	IDO1
74	-0.3494288543815999	0.07400677917989854	2	PCBD1
74	-0.3525271086297344	0.060705541196257505	1	PCBD1
75	-0.35106787063230754	0.07256961631600305	2	SP2
75	0.24337022770286382	0.20331274673679336	1	SP2
76	-0.35196554297965144	0.07179163477115177	2	MAP3K20
76	-0.08980634294437992	0.643158786881729	1	MAP3K20
77	-0.35196554297965144	0.07179163477115177	2	SET
77	-0.21384825308855107	0.26532263486654567	1	SET
78	-0.35328781200035286	0.07065736504405325	2	EZH2
78	0.11239581329198226	0.5615840941362513	1	EZH2
79	-0.35640474802624156	0.06803817104365807	2	ABCF3
79	-0.03994149506642311	0.8370158417721882	1	ABCF3
80	-0.36401481382039624	0.06195799942586755	2	KCNIP3
80	-0.20268448117557566	0.2916669768058872	1	KCNIP3
81	-0.36470465332172874	0.06142842106682496	2	EEF1A1
81	-0.24280983089621982	0.2043878061111682	1	EEF1A1
82	-0.36528315811942197	0.06098702895701248	2	MLX
82	0.0575625357256951	0.7667762349066909	1	MLX
83	-0.36597319124632605	0.060463769837180804	2	TFG
83	-0.37113339515136007	0.04746380269035393	1	TFG
84	-0.3690881910164993	0.058144949378460896	2	SMN2
84	-0.14562520250925695	0.4509981224709645	1	SMN2
85	-0.3703565353155251	0.0572208932481982	2	NFE2
85	-0.4564742293305499	0.012808633922376774	1	NFE2
86	-0.3716248796145508	0.05630833551674653	2	DNM1L
86	0.013396526295570484	0.9450118459690802	1	DNM1L
87	-0.3717951544824155	0.056186695355115786	2	CHN1
87	-0.12518912589386094	0.517591362290526	1	CHN1
88	-0.37289322391357665	0.05540718411190059	2	HOXC10
88	-0.007938682249226954	0.9673986186373993	1	HOXC10
89	-0.37390155327505925	0.05469884915318569	2	L3MBTL2
89	0.02779223409338439	0.8862035192298359	1	L3MBTL2
90	-0.3741615682126024	0.05451734698131279	2	FES
90	-0.24709148500718894	0.1962723911210076	1	FES
91	-0.38985800786864483	0.04440513345128797	2	CARD9
91	0.025686167116783926	0.8947776283569692	1	CARD9
92	-0.39445507699701476	0.04174381707800049	2	SOD2
92	-0.3961898610004827	0.033366931756021644	1	SOD2
93	-0.39889428204360494	0.03929565449846918	2	STK25
93	-0.3086162724386978	0.10333690207026121	1	STK25
94	-0.4005908368732219	0.03839080526674655	2	CAMK2G
94	0.07348713171831747	0.7048024509417194	1	CAMK2G
95	-0.41202059972389193	0.03271926902853032	2	ODC1
95	-0.13017238333518447	0.5009235669981881	1	ODC1
96	-0.41284606933288837	0.03233727266183401	2	CNN1
96	-0.19300921218433031	0.31579347255269624	1	CNN1
97	-0.4172852743794786	0.030343987233661288	2	MYCBP
97	-0.3247417207574401	0.08565104068208192	1	MYCBP
98	-0.4209017211960004	0.028794379948053964	2	TBL1X
98	-0.1500907112744471	0.43708355028344914	1	TBL1X
99	-0.42426116802412034	0.027412765059960646	2	BCKDK
99	-0.09776910922137008	0.6138714505780919	1	BCKDK
100	-0.4275816917299402	0.026100368587151375	2	YTHDF2
100	0.01948177892432404	0.9201005512156653	1	YTHDF2
101	-0.43631043886486515	0.022891842077469415	2	CAMK2B
101	-0.1818454402713549	0.34512054557502336	1	CAMK2B
102	-0.4420179882104811	0.020973326928395614	2	BATF
102	-0.09784146826116633	0.6136078694245307	1	BATF
103	-0.4477255375560971	0.019188283496528184	2	LDB1
103	-0.03820490832440472	0.8440143003510762	1	LDB1
104	-0.4512823666754956	0.018140295585218746	2	PYGO2
104	0.10742029418485222	0.5791412956638362	1	PYGO2
105	-0.45470143120073886	0.0171776696048767	2	ZMYM2
105	-0.1938012038119036	0.3137734140171755	1	ZMYM2
106	-0.45787229194830326	0.016322874412768255	2	MEF2C
106	-0.4271289019473453	0.02083514380372938	1	MEF2C
107	-0.4608667678204888	0.015548113759893878	2	SSBP4
107	-0.033383723065092394	0.8635031117686193	1	SSBP4
108	-0.48902136993226586	0.009638289312947305	2	DNMT3L
108	0.014147748808254767	0.9419333386448872	1	DNMT3L
109	-0.5016301702646924	0.007680154540238075	2	ZNF444
109	0.02307463716590364	0.9054255732074443	1	ZNF444
110	-0.527319083196277	0.004707067137889765	2	MEIS2
110	-0.3453326778413725	0.06653825383819593	1	MEIS2
