Rank(ACPA–)	Rho	pvalue	RA_phenotype	feature_name
40	-0.19066976344267939	0.2515214899325135	1	DNAJA2
41	0.31208716899328715	0.04993754945066234	2	MAL
41	0.2141334376098636	0.1967220607327833	1	MAL
42	0.3106131476358975	0.05108673767691866	2	ETS2
42	0.2367199650792092	0.15245218088434737	1	ETS2
43	0.30979482687837095	0.051733839400672006	2	SHPK
43	-0.048026409331307335	0.7746252682442668	1	SHPK
44	0.3091176123703013	0.05227432199909075	2	PRKD3
44	0.11901512339151005	0.4766591140320192	1	PRKD3
45	0.3085091595132012	0.05276378228082891	2	PDK2
45	0.12619948115153765	0.4502581883270368	1	PDK2
46	0.30515223143011333	0.05553068091735198	2	CAMK2D
46	0.09095412452127724	0.5870766920453895	1	CAMK2D
47	0.3042249639515193	0.0563150734973459	2	STYX
47	0.2406802933384009	0.14550690560013171	1	STYX
48	0.30336331060408056	0.05705187325944631	2	TKT
48	0.21994453448304477	0.1845572530948401	1	TKT
49	0.3017393161855357	0.05846146044555752	2	FGFR1_ext
49	0.03772143575624117	0.8221016179492523	1	FGFR1_ext
50	0.3015743897780478	0.0586061516602189	2	PRKX
50	0.011513180319149018	0.945305337964241	1	PRKX
61	-0.3452338581510303	0.02912531213012107	2	SRPK1
61	-0.057846355591206836	0.7301198810984753	1	SRPK1
62	-0.34574870554935905	0.02887004902460513	2	CXXC1
62	-0.039640404145003444	0.8132078335006812	1	CXXC1
63	-0.34595325044107444	0.028769149338684234	2	IKZF1
63	-0.08598390075205352	0.6077508519308372	1	IKZF1
64	-0.3466757336720131	0.028415086000479213	2	ZNF593
64	-0.11284769256364888	0.49995426561385614	1	ZNF593
65	-0.34711399864044445	0.02820206884594218	2	ITK
65	-0.05251915853308995	0.7541658434389727	1	ITK
66	-0.34770971634415565	0.027914641397542534	2	CDK10
66	-0.07938177615439901	0.6356821771446249	1	CDK10
67	-0.348557099893329	0.02750996703311514	2	CDK14
67	0.09517041671549493	0.5697873342226483	1	CDK14
68	-0.3492325568852322	0.02719088660401652	2	GRK3
68	-0.06222599839159112	0.7105384230012595	1	GRK3
69	-0.3530459617258501	0.025446439658857792	2	BRSK2
69	-0.09234495463422075	0.581347775738214	1	BRSK2
70	-0.3538795075755603	0.025077781338898895	2	PAK6
70	-0.23322413846504725	0.1587809301927685	1	PAK6
71	-0.3559040976268841	0.024200794325451035	2	SECISBP2
71	-0.04237946850810567	0.8005532945831026	1	SECISBP2
72	-0.36107954567555833	0.022074274857537636	2	NRBP2
72	-0.2640530275796287	0.1091698532754564	1	NRBP2
73	-0.36167839818839603	0.0218386090815346	2	RAF1
73	-0.045671447652542004	0.7854106180898922	1	RAF1
74	-0.3618026691376395	0.021789969034539586	2	ABL2
74	-0.03042769084346526	0.8560968160600415	1	ABL2
75	-0.36207203475998656	0.021684848991231274	2	TTK
75	-0.0789475221884504	0.6375374349303136	1	TTK
76	-0.3626971715076609	0.021442520411861885	2	MED17
