Rank(ACPA–)	Rho	pvalue	RA_phenotype	feature_name
93	0.3153153153153153	0.06103695148516055	2	PDCD6
93	-0.2513188315718244	0.1334994785478657	1	PDCD6
94	0.31513904237097795	0.06118950737404606	2	RCAN1
94	-0.18617337177203055	0.26991426873211954	1	RCAN1
95	0.31308399886794236	0.06299039058747126	2	TYRO3
95	0.2713845746277925	0.10421246794348171	1	TYRO3
96	0.31278157036042026	0.06325891081088536	2	VPS4A
96	0.013871598815054629	0.9350559349995591	1	VPS4A
97	0.3127413127413127	0.06329472276439668	2	GAGE1
97	-0.3783046828689982	0.020960081236862018	1	GAGE1
98	0.3119691119691119	0.0639847506187437	2	S100P
98	-0.2947243627741553	0.07659808784007334	1	S100P
99	0.3096525096525096	0.06609047368337469	2	RARB
99	-0.36856143743245384	0.024793868944323835	1	RARB
100	0.3084647729772427	0.06719103293241815	2	SH2D1A
100	-0.0661568558871836	0.6972530792926921	1	SH2D1A
101	0.3082566452100396	0.06738535902983316	2	MAPK11
101	0.05892116182572614	0.7290396364686433	1	MAPK11
102	0.30785070785070784	0.06776564774445311	2	FEN1
102	0.10052753262872977	0.5538504155595818	1	FEN1
103	0.30750418583993583	0.06809160709036904	2	STARD7
103	-0.028097213989330173	0.8688848775826057	1	STARD7
104	0.30722697791915016	0.06835325076107651	2	THUMPD1
104	0.38089028577371314	0.02003008330741407	1	THUMPD1
105	0.306860602361828	0.06870026570500896	2	WAS
105	0.28962655601659754	0.08207915492818066	1	WAS
106	0.30682110682110686	0.06873775655385697	2	TRIM37
106	0.16852400711321874	0.3187342430942982	1	TRIM37
107	0.3063851800828952	0.06915262411430666	2	FGFR1
107	0.39768753600699897	0.014789510796623086	1	FGFR1
108	0.3063851800828952	0.06915262411430666	2	MED21
108	0.10799596960468492	0.5246252568245879	1	MED21
109	0.30632601903962187	0.06920907817696104	2	RBKS
109	-0.09033252342345763	0.594932982776291	1	RBKS
110	0.3056824769828159	0.06982551213424283	2	CKB
110	-0.2048606994665086	0.2238707933013692	1	CKB
111	0.30553410553410554	0.06996824231656243	2	ZNF3
111	0.4090100770598696	0.011952266677424866	1	ZNF3
112	0.305324885467263	0.0701698959994984	2	KIT
112	0.15813515436751466	0.34989970736434506	1	KIT
113	0.3040092676351205	0.07144838977668921	2	PHLDA2
113	-0.05868057623964768	0.7301045706923077	1	PHLDA2
114	0.3037323037323037	0.07171984646451038	2	NME8
114	0.0064015174079615645	0.9700044067324105	1	NME8
115	0.30066284893972967	0.07478258326795834	2	PAGE1
115	-0.26898227775305167	0.10743596391351776	1	PAGE1
116	0.2992470564147566	0.07622921306666307	2	ASB1
116	0.17048014226437463	0.31306697688523594	1	ASB1
117	0.2985842985842986	0.07691385181720824	2	IL1F5
117	-0.03023117960877297	0.8590229989675464	1	IL1F5
118	0.29821738912386714	0.07729492752646328	2	ZNF169
118	0.27253867631303036	0.10269022359196935	1	ZNF169
119	0.29783126388978354	0.0776975456384655	2	NAP1L1
119	0.13977474807350326	0.40931663547947217	1	NAP1L1
120	0.2964012404242494	0.07920287216758852	2	METTL3
120	0.17036158861885004	0.3134086299047089	1	METTL3
121	0.2952760997558864	0.08040310274485715	2	RHOB
121	-0.10699466508595139	0.52849919624448	1	RHOB
122	0.29523809523809524	0.08044388853969127	2	SIAH1
122	0.2926916014862427	0.07874840815399771	1	SIAH1
123	0.2924255106126138	0.08350710061957752	2	DFFA
123	0.17971667389758766	0.28717050738235944	1	DFFA
124	0.29203938537853025	0.0839345804586022	2	CKMT2
124	-0.20107890248147564	0.23272419872159758	1	CKMT2
125	0.2916344916344916	0.08438465389692829	2	LDHC
125	-0.2817001605518786	0.09119964143147685	1	LDHC
126	0.2906048906048906	0.08553754285131424	2	MRPL55
126	0.26401896858328394	0.11433439793136943	1	MRPL55
127	0.29035345627184966	0.08582092315017385	2	TCF12
127	0.10407844616756783	0.5398605031969091	1	TCF12
128	0.29009009009009007	0.08611852755332461	2	GAPDH
128	-0.11060399521533594	0.5146008337134683	1	GAPDH
129	0.28974128184415887	0.08651390637736603	2	GNG4
129	-0.047895672791938355	0.7783268648638642	1	GNG4
130	0.288768762168915	0.08762366410548426	2	ZMAT3
130	-0.020341598778522093	0.904880425651527	1	ZMAT3
131	0.28845411488794315	0.08798505107390114	2	HK2
131	0.039238930778431075	0.8176429415996498	1	HK2
132	0.28843554986041703	0.08800640967066581	2	ANXA1
132	0.1535178711724116	0.3643244435921985	1	ANXA1
133	0.28674388674388673	0.0899694375115569	2	IDI1
133	-0.08666785242568319	0.6100183297243398	1	IDI1
134	0.28600849767113323	0.09083321438162943	2	MTMR2
134	-0.022643746295198577	0.8941728413052493	1	MTMR2
135	0.28304801367183713	0.09437511858269766	2	IGF2BP3
135	0.0815649081209247	0.6312898387399801	1	IGF2BP3
136	0.28278930767022753	0.09468958473044398	2	FKBP3
136	0.0871297034942636	0.6081082272796436	1	FKBP3
137	0.2767587101858762	0.10224947595670171	2	GTF2B
137	-0.03426200355660936	0.8404534399526611	1	GTF2B
138	0.2753250119345428	0.10411242219332444	2	TYMS
138	-0.2803793716656787	0.09279229428937877	1	TYMS
139	0.2742952783695702	0.10546626475833801	2	ZSCAN21
139	0.1996325058334681	0.2361722400590966	1	ZSCAN21
