	crp	esr	das28crp	rf_tit	acpa_tit
DCDC2	0	0	0	0	0
DCLK1	0	0	0	0	0
DCLK2	0	0	0	0	0
DCT	0	0	0	0	0
DDB1	0	0	0	0	0
DDB2	0	0	0	0	0
DDIT3	0	0	0	0	0
DDR1	0	0	0	0	0
DDR1_ext	0	0	0	0	0
DDR1_int	0	0	-0.4859225899117492	0	0
DDX43	0	0	0	0	0
DDX5	0	0	0	0	0
DDX53	0	0	0	0	0
DDX55	0	0	0	0	0
DEDD	0	0	0	0	0
DEK	0	0	0	0	0
DFFA	0	0	0	0	0
DGKA	0	0	0	0.5098122506925434	0
DGUOK	0	0	0	0	0
DKK1	0	0	0	0	0
DKKL1	0	0	0	0	0
DLX1	0	0	0	0	0
DLX3	0	0	0	0	0
DLX4	0	0	0	0	0
DMAP1	0	0	0	0	0
DMPK	0	0	0	0	0
DMRTB1	0	0	0	0	0
DMRTC2	0	0	0	0	0
DNAJA1	0	0	0	0	0
DNAJA2	0	0	0	0	0
DNAJB1	0	0	0	0	0
DNM1L	0	0	0	0	0
DNM2	0	0	0	0	0
DNMT3L	0	0	0	0	0
DNTT	0	0	0	0	0
DPF2	0	0	0	0	0
DPPA2	0	0	0	0	0
DR1	0	0	0	0	0
DRD2	0	0	0	0	0
DSTYK	0	0	0	0	0
DTYMK	0	0	0	0	0
DUSP10	0	0	0	0	0
DUSP11	0	0	0	0	0
DUSP12	0	0	0	0	0
DUSP13	0	0	0	0	0
DUSP14	0	0	0	0	0
DUSP18	0	0	0	0	0
DUSP4	0	0	0	0	0
DUSP6	0	0	0	-0.48624428776515094	0
DVL2	0	0	0	0	0
DXO	0	0	0	0	0
DYNC1LI2	0	0	0	0	0
DYRK2	0	0	0	0	0
DYRK3	0	0	0	0	0
DYRK4	0	0	0	0	0
E2F6	0	0	0	0	0
E6	0	0	-0.7107712384295085	0	0
E7	0	0	0	0	0
EAPP	0	0	0	0	0
ECI2	-0.46120448500353933	0	0	0	0
EEF1A1	0	0	0	0	0
EEF1A2	0	0	0	0	0
EEF1D	0	0	0	0	0
EEF1G	0	0	0	0	0
EEF2K	0	0	0	0	0
EFHD2	0	0	0	0	0
EFS	0	0	0	0	0
EGFR_ext	0	0	0	0.4720376043885126	0
EGFR_int	0	0	0	0	0
EGR2	0	0	0	0	0
EHF	0	0	0	0	0
EHMT2	0	0	0	0	0
EIF4A2	0	0	0	0	0
EIF4A3	0	0	0	0	0
EIF4E	0	0	0	0	0
EIF4EBP1	0	0	0	0	0
ELF1	0	0	0	0	0
ELF2	0	0	0	0	0
ELF4	0	0	0	0	0
ELF5	0	0	0	0	0
ELK1	0	0	0	0	0
ELK3	0	0	0	0	0
ELL3	0	0	0	0	0
ELMOD1	0	0	0	0	0
ELMOD3	0	0	0	0	0
ELOA	0	0	0	0	0
ELOVL4	0	0	0	0	0
ENO1	0	0	0	0	0
ENO2	0	0	0	0	0
EPAS1	0	0	0	0	0
EPCAM	0	0	0	0	0
EPHA10	0	0	0	0	0
EPHA2	0	0	0	0	0
EPHA3_ext	0	0	0	0	0
EPHB3_int	0	0	0	0	0
EPHB4	0	0	0	0	0
EPPIN	0	0	0	0	0
EPS15	0	0	0	0	0
ERBB2	0	0	0	0	0
ERBB3_ext	0	0	0	0	0
ERBB3_int	0	0	0	0	0
ERCC2	0	0	0	0	0
ERCC3	0	0	0	0	0
ERCC5	0	0	0	0	0
ERG	0	0	0	0	0
ESR2	0	0	0	0	0
ESRRG	0	0	0	0	0
ETNK2	0	0	0	0	0
ETS2	0	0	0	0	0
ETV4	0	0	0	0	0
ETV6	0	0	0	0	0
ETV7	0	0	0	0	0
EWSR1	0	0	0	0	0
EXOSC10	0	0	0	0	0
EXOSC4	0	0	0	0	0
EXOSC8	0	0	0	0	0
EXT1	0	0	0	0	0
EXT2	0	0	0	0	0
EZH2	0	0	0	0	0
EZR	0	0	0	0	0
FADD	0	0	0	0	0
FAF1	0	0	0	0	0
FAIM	0	0	0	0	0
FAM133A	0	0	0	0	0
FAM46D	0	0	0	0	0
FAM50B	0	0	0	0	0
FANCC	0	0	0	0	0
FAP	0	0	0	0	0
FAS	0	0	0	0	0
FASTK	0	0	0	0	0
FASTKD1	0	0	0	0	0
FBXO9	0	0	0	0	0
FEN1	0	0	0	0	0
FES	0	0	0	0	0
FGF1	0	0	0	0	0
FGF13	0	0	0	0	0
FGFR1	0	0	0	0	0
FGFR1_ext	0	0	0	0	0
FGFR1_int	0	0	0	0.507145788893624	0
