RAF1
VAPA
NBR1
FMR1
CDH11
CLPSL2
HERC4
PGRMC1
CFHR5
HP
LGI3
C1orf198
EVA1B
SSR1
UXS1
SSMEM1
MYG1
TNFRSF11B
C11orf68
PAPOLG
FASN
SNCA
SNCA
DNAJC4
CENPW
NUDC
NUDC
UGT2A1
STIM1
VTI1B
RIPK2
MARCO
MTPAP
RNF215
SNTB1
IRAG2
MYDGF
STIM1
LRRC25
CT55
NMS
VCAN
PAWR
FCAMR
FAF2
MARK3
CEL
FHIT
G3BP2
SMAD1
CTNNB1
TTC1
NFKB1
PPIL1
OAZ1
MYO6
RNF114
DLL3
