	cohenD	fc_case_control	pval	padj
cis-4-decenoate (10:1n6)*	-0.157983954780349	-0.24088395509033333	0.481966496679408	0.823537941017013
1-lignoceroyl-GPC (24:0)	-0.391407563392926	-0.31913148477414716	0.0839766300858018	0.4816717237744513
1-(1-enyl-palmitoyl)-GPC (P-16:0)*	-0.170618159408159	-0.08008566337201677	0.447748529112852	0.80623218961897
1-methyl-5-imidazoleacetate	-0.357985962169535	-0.6309397062773259	0.113428026603782	0.5520510836083151
glycoursodeoxycholate	-0.039627724668656	-0.07022980925442406	0.859794532494249	0.9620009830465738
S-methylcysteine sulfoxide	-0.417909966436322	-0.4548405713866926	0.065383661314671	0.4711407309987134
(14 or 15)-methylpalmitate (a17:0 or i17:0)	0.194458138045801	0.13710542264067707	0.387163715859826	0.7586162329940264
eicosanedioate (C20-DC)	-0.0404659312668954	-0.024897966449146866	0.856861201179044	0.9620009830465738
16-hydroxypalmitate	0.35066987797281	0.15385173826456644	0.120872496231443	0.5681825604833675
oleoyl-linoleoyl-glycerol (18:1/18:2) [1]	-0.0289635462055739	-0.01967492277797325	0.897272586988739	0.9646974245162072
oleoyl-linoleoyl-glycerol (18:1/18:2) [2]	-0.0265291352200272	-0.018623281335469317	0.905864085166146	0.9646974245162072
1-(1-enyl-palmitoyl)-GPE (P-16:0)*	0.0732193923088606	0.03491770167734201	0.744206988669722	0.9213577771045216
1-(1-enyl-stearoyl)-GPE (P-18:0)*	-0.040895523679032	-0.020479412606569828	0.855358606552664	0.9620009830465738
linoleoylcarnitine (C18:2)*	0.233499190654002	0.11636960441012889	0.299599847986749	0.7158218169680486
isoleucylglycine	-0.216904746948118	-0.34766113990511177	0.335031184013689	0.7376461946008647
leucylglycine	-0.0461086555131213	-0.04183709957306412	0.837168711475636	0.9602551382439456
2-O-methylascorbic acid	-0.267090618339001	-0.13940467759673777	0.235915558470261	0.6838972883523139
carboxyethyl-GABA	-0.291835515365597	-0.17365037641496822	0.195686286349765	0.6475287609644903
beta-citrylglutamate	0.146802516435739	0.09412074268468658	0.513421354525969	0.8256790673943638
trimethylamine N-oxide	0.0301496211723828	0.04565673817473803	0.893091082271234	0.9646974245162072
N6-methyllysine	0.456109439086833	0.5213282391642524	0.0447575456898242	0.4400755367413225
imidazole propionate	-0.247014174619664	-0.5601474230026585	0.272693898710877	0.7071721141533412
valylglycine	0.0585417281706291	0.05120115958002179	0.794160704420283	0.9448262231580256
prolylglycine	-0.0862669545033455	-0.10776913661289249	0.700696849960967	0.9043085209961936
N-palmitoylglycine	0.0365289023049916	0.020237316968887406	0.870655781308922	0.9632594201968364
mannonate*	-0.109367646933461	-0.05629201679028329	0.626138510611348	0.8734772768795342
