	cohenD	fc_case_control	pval	padj
E7	-0.313152250035915	-0.5189267867632296	0.16534130378853	0.9988377854874904
EAPP	-0.300320501376166	-0.5917717195995974	0.183143005213486	0.9988377854874904
ECI2	-0.259738107708156	-0.061379918288380284	0.248946695654974	0.9988377854874904
EEF1A1	0.0150118567033724	0.001627290633686151	0.946645970339984	0.9988377854874904
EEF1A2	-0.1597179678828	-0.024585163249598294	0.4771859311319	0.9988377854874904
EEF1D	-0.0991081041652184	-0.050629674472628186	0.658829974959236	0.9988377854874904
EEF1G	0.104346311725707	0.041181394846608425	0.642050459767026	0.9988377854874904
EEF2K	-0.0925936294471152	-0.013152705039234469	0.679943737204933	0.9988377854874904
EFHD2	-0.392260989219388	-0.14741299410091366	0.0833161722458984	0.9988377854874904
EFS	-0.070791867642779	-0.04027253296768012	0.752399819162036	0.9988377854874904
EGFR_ext	-0.113001646403346	-0.020976938193868394	0.614731955667573	0.9988377854874904
EGFR_int	0.0426337469539248	0.01487402490405331	0.849284297492462	0.9988377854874904
EGR2	-0.110876787909427	-0.014594437519434155	0.621390262593799	0.9988377854874904
EHF	-0.258792998919654	-0.08390461223627345	0.250658265859825	0.9988377854874904
EHMT2	0.18135881914786	0.031134185071514966	0.419798448199213	0.9988377854874904
EIF4A2	0.0259530076940371	0.003267368955874345	0.907899031852427	0.9988377854874904
EIF4A3	-0.0748794957842644	-0.012029942494326437	0.738621061477304	0.9988377854874904
EIF4E	-0.230702982459027	-0.047619144595769845	0.305384759092023	0.9988377854874904
EIF4EBP1	-0.398992057846423	-0.10217681968390353	0.0782560204820629	0.9988377854874904
ELF1	-0.314485965489427	-0.23984319148016603	0.163569894867535	0.9988377854874904
ELF2	-0.330197588660138	-0.0743341432653034	0.143785266934678	0.9988377854874904
ELF4	0.125009256583056	0.07448756111680205	0.577723522288261	0.9988377854874904
ELF5	-0.394514890252428	-0.09930689464777442	0.0815924979225682	0.9988377854874904
ELK1	-0.0165046879434661	-0.009920226828769087	0.941349570242044	0.9988377854874904
ELK3	-0.015010491191374	-0.0021686102974989192	0.946650816162584	0.9988377854874904
ELL3	0.135270794715747	0.0341951352363893	0.546968577790848	0.9988377854874904
ELMOD1	-0.0749831819514033	-0.013616078741577508	0.738272640151091	0.9988377854874904
ELMOD3	-0.0842264350962698	-0.011344418270732792	0.707440072836324	0.9988377854874904
ELOA	-0.143567758098655	-0.030761514218923758	0.522720329998632	0.9988377854874904
ELOVL4	0.0262913115765023	0.022280967327584653	0.906704029240663	0.9988377854874904
ENO1	0.0008040723903071	0.0003843297982095074	0.997140057313872	0.9988377854874904
ENO2	-0.219828187903009	-0.17247591493215655	0.328597115643718	0.9988377854874904
EPAS1	0.271654489287668	0.05584250829949545	0.228078341280115	0.9988377854874904
EPCAM	0.187237994690752	0.1449230229755794	0.404952108392662	0.9988377854874904
EPHA10	0.453312718051015	0.11690130708663324	0.0460503724122087	0.9988377854874904
EPHA2	-0.0392803893111749	-0.007217917068534996	0.861010624544514	0.9988377854874904
EPHA3_ext	-0.122826544781843	-0.019875665971511074	0.584370852506426	0.9988377854874904
EPHB3_int	-0.28054095919112	-0.06956407571722288	0.213364159468141	0.9988377854874904
EPHB4	0.239587812325191	0.039826329359338775	0.287262624682911	0.9988377854874904
EPPIN	0.378896512013209	0.26851123146050543	0.0941641414712693	0.9988377854874904
EPS15	-0.115985224052862	-0.11869590020702284	0.605437277667906	0.9988377854874904
ERBB2	-0.155308785264812	-0.02852451916016327	0.4893935660383	0.9988377854874904
ERBB3_ext	-0.195669972526928	-0.058020542504503426	0.384226404844681	0.9988377854874904
ERBB3_int	-0.111854410223179	-0.06119678374640032	0.618322883189827	0.9988377854874904
ERCC2	-0.0657711971675532	-0.007540052322281416	0.769433980570822	0.9988377854874904
ERCC3	0.0140320902591427	0.002608703550479848	0.950123395150524	0.9988377854874904
ERCC5	0.229592691191724	0.06828041575377986	0.307702589488823	0.9988377854874904
