	coef	cohenD	pval
phytanate	0.203641352187581	0.149335143394202	0.506202537378604
proline	0.0031193931312223	0.0118874140479253	0.957738649736158
lactate	0.273510388809694	0.727876550047873	0.00167745333933191
pyridoxal	0.375117618039743	0.110664406528822	0.622057518793696
retinol (vitamin A)	-0.0913374543635243	-0.236809073118745	0.292849102466398
salicylate	-13.7313675268708	-0.152833555253468	0.496321118686264
serine	-0.0119555805024615	-0.0505543448874947	0.821726000781146
serotonin	0.237894218374442	0.214896672387546	0.339498276635793
taurine	-0.0668560330901569	-0.201734887991022	0.369735709333598
myristate (14:0)	0.294103863891838	0.298079886179064	0.186394739592189
urea	-0.146169827063107	-0.345005073338026	0.126900303167494
uridine	0.00934021344615149	0.0311822405733396	0.889453045694157
2'-deoxyuridine	-0.462310720173737	-0.737311854572151	0.0014712607661318
trans-urocanate	0.160139137140903	0.292507372638239	0.194670257949883
glutamate	0.0802831881367114	0.258625512655272	0.250962451018729
glutamine	-0.035966372735499	-0.271780232009595	0.227865120344592
threonine	-0.046498580480022	-0.170241752688489	0.448747217172574
tryptophan	0.017014880336476	0.0727555377341917	0.74577023952528
valine	-0.0303010117228889	-0.114860719493433	0.608932890937301
glucose	0.0139064042044045	0.0553920325669915	0.805001464522362
alpha-ketobutyrate	0.136385776716188	0.159260573628321	0.478444364039872
adenosine	-0.0325844838784019	-0.0767329588766707	0.732401102694358
betaine	-0.0676372233332743	-0.249573286681892	0.267794984059885
cysteine	-0.0664405988224127	-0.284248060123112	0.207436773168819
mannose	0.16046510467739	0.312935391526074	0.165630715896843
dimethylglycine	-0.0183070878913313	-0.0619402338099528	0.78250892819997
alanine	-0.0184641304175256	-0.107999234701362	0.630457689015698
tyrosine	0.0423899519346135	0.15198953610309	0.498695451140803
pseudouridine	-0.118088010337757	-0.428266907345922	0.0591239374427137
pyruvate	0.311018711477926	1.0645841594833	8.71638420001382e-06
uracil	0.058806473364801	0.126158129824852	0.574239323273186
cytidine	-0.452797916798582	-0.234408289500302	0.297735219772071
caffeine	-0.0292944004831877	-0.022410218375614	0.920425597139783
fructose	0.120348354399631	0.0826906418442453	0.712530856207536
adenine	0.0495700037672236	0.122128336519891	0.586504840755602
caprate (10:0)	0.314603317922406	0.617002851399365	0.00721469071883063
margarate (17:0)	0.143520958265384	0.136895530204055	0.542175863803652
arachidate (20:0)	0.194027720187685	0.459198071174668	0.0433661579268382
maltose	-0.179642227152522	-0.258134058256815	0.25185653605247
asparagine	-0.030990232814101	-0.149061257042778	0.506980570459778
N-stearoyl-sphinganine (d18:0/18:0)*	0.185146992916308	0.290539212539513	0.197657831951605
dihydroorotate	0.245403875373851	0.237175329567362	0.292108542182788
caproate (6:0)	-0.0260323419000867	-0.120055766730078	0.592860986914752
caprylate (8:0)	0.0430226667855509	0.151049293241918	0.501347703766378
sucrose	-0.48784904778183	-0.224667060192382	0.318128094004705
trans-4-hydroxyproline	0.127639898791095	0.148951985074892	0.507291159636545
allantoin	-0.0600155315243153	-0.161192366008014	0.473142003846194
xanthine	-0.570620331929336	-0.269316083617375	0.232069986055294
5-oxoproline	0.044362763306931	0.173078358826552	0.441252880152582
picolinate	-0.081480819587676	-0.114721105607054	0.609367530220626
sarcosine	-0.208549727701455	-0.782473390966979	0.000774081048165105
pantothenate	-0.381270583700394	-0.432590855728741	0.0566647196483978
